               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14788,            0.028058,                   0,          0.00016667,            0.017241,            0.000106,            1.06e-05,             0.14264,            0.021435,                   0,              0.0901,              0.0011,              0.0011
                   1,             0.13855,            0.027157,                   0,          0.00016667,            0.017241,          0.00013177,          1.3177e-05,             0.13589,            0.019936,                   0,            0.079262,           0.0022621,           0.0022621
                   2,             0.13122,            0.027083,                   0,               0.001,             0.10345,          0.00074777,           0.0001322,             0.12961,            0.020164,                   0,            0.068385,           0.0033845,           0.0033845
                   3,             0.12352,            0.028708,                   0,             0.38111,             0.27586,             0.17312,            0.040674,             0.11909,            0.022182,                   0,            0.057467,           0.0044673,           0.0044673
                   4,             0.11516,            0.026536,                   0,             0.21267,             0.24138,            0.082551,            0.018585,             0.12335,            0.019287,                   0,            0.046511,           0.0055106,           0.0055106
                   5,             0.11237,             0.02689,                   0,             0.10264,             0.22414,            0.040629,           0.0075095,             0.12691,            0.018219,                   0,            0.035514,           0.0065143,           0.0065143
                   6,             0.11084,            0.022407,                   0,             0.23841,             0.27586,             0.14472,            0.027982,             0.11681,            0.019691,                   0,            0.024478,           0.0074783,           0.0074783
                   7,             0.10272,             0.02383,                   0,             0.32891,             0.34483,             0.23275,            0.042164,             0.11283,            0.019794,                   0,            0.013403,           0.0084028,           0.0084028
                   8,             0.10692,            0.023752,                   0,             0.13846,             0.43103,            0.078845,            0.020576,             0.11159,            0.023689,                   0,             0.00868,             0.00868,             0.00868
                   9,            0.096231,            0.024302,                   0,             0.19577,             0.27586,              0.1441,            0.036808,             0.10677,            0.022259,                   0,             0.00868,             0.00868,             0.00868
                  10,            0.090875,            0.023719,                   0,             0.24768,             0.34483,             0.20297,             0.05458,             0.10636,             0.02494,                   0,            0.008515,            0.008515,            0.008515
                  11,              0.0866,            0.024076,                   0,             0.36409,             0.43103,             0.30891,            0.082399,            0.091078,            0.025459,                   0,             0.00835,             0.00835,             0.00835
                  12,            0.082618,            0.022708,                   0,              0.3201,             0.39776,             0.21278,            0.053598,            0.093969,            0.025383,                   0,            0.008185,            0.008185,            0.008185
                  13,            0.076906,            0.021491,                   0,             0.39401,             0.51724,             0.37909,             0.11735,            0.083847,            0.022114,                   0,             0.00802,             0.00802,             0.00802
                  14,            0.077066,            0.022917,                   0,             0.42466,             0.58621,             0.40368,              0.1521,            0.082624,            0.021343,                   0,            0.007855,            0.007855,            0.007855
